Name,Country,Years active,Proven victims,Possible victims,Notes
Guy Georges,France,1991–1997,7,,"Known as the ""Beast of the Bastille""; serving a life sentence for seven murders between 1991 and 1997."
Motta Navas,India,1996–2012,7,,"Active in Kollam, Kerala, Navas was arrested and imprisoned for his first two murders in 1996 and 2007. During his final crime spree in 2012, he bludgeoned to death five elderly pavement dwellers in their sleep, always after midnight. He feigned a mental illness to avoid suspicion by the police in at least two occasions."
Paul Dennis Reid,United States,1997,7,,Reid killed the employees of restaurants he targeted for a series of robberies.
Samuel Sidyno,South Africa,1998–1999,7,,"Known as the ""Capital Hill Serial Killer"" murdered 7 people in Pretoria from 1998–1999."
Ripper Jayanandan,India,2003–2006,7,,Killed seven people during robberies. Sentenced to death.
Sibusiso Duma,South Africa,2007,7,,Murdered 7 people in the Pietermaritzburg area of KwaZulu Natal in 2007.
Tommy Lynn Sells,United States,1980–1999,6,22–70,Drifter active throughout the United States who specialized in killing children and multiple victims after breaking into their homes. Caught when a 10-year-old girl survived his attack and provided a description of him. Executed in 2014.[304]
Volker Eckert,East Germany  Germany  France  Spain  Czech Republic (suspected)  Italy (suspected),1974–2006,6,19+,"German trucker who confessed to having abducted, tortured and killed five sex workers through his route in Western Europe, plus strangling a 14-year-old girl in his native West Germany in 1974, when he was 15. Police considered him perpetrator of nine murders (with four more being possible); he hanged himself in prison before being convicted."
Lorenzo Gilyard,United States,1977–1993,6,13+,"Known as ""The Kansas City Strangler"". Killed up to 13 sex workers in the Kansas City area from 1977 to 1993. Sentenced to life in 2007.[305]"
Władysław Mazurkiewicz,Poland,1950s,6,30,"Known as ""The Gentleman Killer"". Indicted of, and confessed to having committed 30 murders; convicted of six and hanged in 1957.[306]"
Gong Runbo,China,2005–2006,6,20+,Found guilty of the murders of six children and teenagers aged between nine and 16 from 2005 to 2006; executed in 2007.[307]
The Doodler,United States,1974–1975,6,16,"Unidentified serial killer who sketched then stabbed to death 14 gay men in San Francisco. Surviving victims did not wish to testify, so the killer was not identified.[308]"
Cristopher Chávez Cuellar,Colombia,1990s–2015,6,15+,"Known as ""The Soulless""; killed between 6 and at least 15 people starting from the 1990s, including 4 underage brothers; sentenced to 40 years imprisonment.[309]"
András Pándy,Belgium,1986–1990,6,14+,"Former clergyman nicknamed ""Father Bluebeard"", killed his two wives and four of his children with the help of a fifth he was having an incestuous affair with, and whom denounced him to the authorities seven years later. Sentenced to life imprisonment in 2002.[310]"
John Wayne Glover,Australia,1989–1990,6,13,"British ex-pat living in Australia. Known by the media as ""The Granny Killer"" as he targeted elderly women; killed himself while in prison in 2005.[311]"
Alexander Sergeychik,Belarus,2000–2006,6,12,Killed between six and 12 people under the influence of alcohol. Executed in 2007.[312]
Adrián Arroyo Gutiérrez,Costa Rica,2014–2015,6,11,"Known as ""The Southern Psychopath""; raped and strangled drug-addicted sex workers in San José; sentenced to 110 years imprisonment.[313]"
Joseph Naso,United States,1977–1994,6,10,"A freelance photographers who raped and strangled to death women in California. Arrested in 2011 and sentenced to death two years later. Known as ""The Double Initial Killer"" since first four victims to be identified bore double initials.[314]"
John George Haigh,United Kingdom,1944–1949,6,9,"Called the ""Acid Bath Murderer"" for dissolving his victims in sulphuric acid under the belief that he could not be prosecuted for murder if no body was found. He would then forge papers to sell the victims possessions. Confessed nine murders, convicted of six and hanged."
Jack the Stripper,United Kingdom,1964–1965,6,8,Murdered at least six sex workers in London and may have been responsible for the deaths of two others before that. Remains unidentified.
Morris Solomon Jr.,United States,1986–1987,6,7,"Handyman who killed six young women between 1986 and 1987 in Sacramento, California. Sentenced to death on September 16, 1992."
Mack Ray Edwards,United States,1953–1970,6,6+,Molester. Murdered 2 young girls and 4 young boys. Claimed at one point to have killed as many as 18.
Terry Peder Rasmussen,United States,1978–2002,6,6+,"Known as the ""Chameleon Killer""; main suspect in the Bear Brook murders, as well as other murders.[315]"
Robert Berdella,United States,1984–1987,6,6+,"Berdella abducted, raped, tortured, and murdered at least six men."
Juan Chavez,United States,1986–1990,6,6+,Murdered six men in Los Angeles County in what he claimed was a retaliation against the AIDS epidemic.[316]
David Berkowitz,United States,1976–1977,6,6,"Known as ""Son of Sam"", he went after young women and couples killing 6 people and wounding 7 others with a .44 caliber Bulldog revolver. He was caught when an eyewitness to his last murder saw he had a parking ticket on his car. He was sentenced to life in prison with parole in 1978.[317]"
Richard Chase,United States,1977–1978,6,6,"Known as ""The Vampire of Sacramento"" because he drank his victims' blood and cannibalized their remains. He killed six people in the span of a month in Sacramento, California.[318] The 1987 film Rampage was loosely based on based on Chase's crimes.[319]"
Michael Terry,United States,1985–1986,6,6,"Murdered six men in Atlanta, Georgia in a 10-month period, via stabbing or shooting. Sentenced to life imprisonment in 1988.[320]"
Lázaro Barbosa de Sousa,Brazil,2006–2021,6,6,Convicted of a double murder in 2007; later escaped from prison and murdered a family of 4 before dying in a shootout with the police.[321]
Alfredo Galán,Spain,2003,6,6,"Shot random people over the course of three months, killing six and wounding three. He would sometimes leave a Spanish playing card at the scene of the crime as a signature.[322]"
Friedrich Schumann,Germany,1918–1920,6,,Killed six people and executed in 1921.
Eugen Weidmann,France,1937,6,,"German who strangled and robbed American dancer Jean de Koven, shot a former accomplice, and shot dead and robbed four other people around Paris in 1937."
Rhonda Belle Martin,United States,1937–1951,6,,Alabama poisoner who murdered six family members; executed in 1957.
Leslie Irvin,United States,1954–1955,6,,"Known as ""The Mad Dog Killer""; Killed six people in robberies in the mid-1950s; his Supreme Court case set a precedent for fair trials of highly publicized defendants."
Lemuel Smith,United States,1958–1981,6,,"Confessed to the murders of five people, including an on-duty female prison guard. Sentenced to death on June 10, 1983. Commuted to life in 1984."
Freeway Phantom,United States,1971–1972,6,,"Raped and strangled six young women and girls in Washington, D.C. in the early 1970s, dumping their bodies by freeways."
David Mason,United States,1980–1982,6,,"Strangled four elderly neighbors, his cellmate when imprisoned on lesser charges; shot his boyfriend."
Dayton Leroy Rogers,United States,1983–1987,6,,"Killed street women, usually addicts, sex workers and runaways. He would tie, rape, and kill them in a forest."
Norbert Poehlke,West Germany,1984–1985,6,,"Known as ""The Hammer-Killer"", German police officer who was found, after his suicide in 1985, to have committed several bank robberies and murders."
Wolfgang Schmidt,East Germany  Germany,1989–1991,6,,"Known as the ""Beast of Beelitz"". Killed five women and a 3 month old baby from 1989 to 1991. Currently in a psychiatric hospital."
Cleophus Prince Jr.,United States,1990,6,,"Known as ""The Clairemont Killer""; raped and killed six women in San Diego in 1990."
Nathaniel White,United States,1991–1992,6,,"Convicted of stabbing to death six women in the Hudson Valley, New York area from 1991 to 1992."
Samuel Bongani Mfeka,South Africa,1993–1996,6,,Killed 6 women from 1993 to 1996 and sentenced to life imprisonment.
Gary Ray Bowles,United States,1994,6,,Beat and strangled six men to death to steal their credit cards in 1994.
Rory Enrique Conde,United States,1994–1995,6,,"Known as ""The Tamiami Trail Strangler"". Killed 6 sex workers in Florida. Sentenced to death on March 7, 2000."
Nicholas Lungisa Ncama,South Africa,1997,6,,"Murdered 6 people in the Eastern Cape, 1997."
Aleksandr Rubel,Estonia,1997–1998,6,,He was intoxicated on gasoline vapour during his murders. Sentenced as a minor to the maximum punishment allowed by law — eight years imprisonment — he was released in 2006.
Celine Lesage,France,2000–2007,6,,Killed seven of her newborn babies and sentenced to 15 years in prison.
Filiberto Hernández Martínez,Mexico,2010–2013,6,,Killed six people from 2010 to 2013 in Tamuín.
Zodiac Killer,United States,1968–1969,5,37,Targeted young couples. Remains unsolved but open in the California jurisdictions where the five certain Zodiac murders occurred. Potentially 37 total victims claimed but unverified.[323]
Carl Panzram,United States  Portuguese Angola,1915–1929,5,22,"From 1920 to 1928, he claimed in a posthumous autobiography to have committed over 22 killings, and sodomy of more than 1000 young men. Executed in 1930 by hanging.[324]"
Steve Wright,United Kingdom,2006,5,22,"Referred to as ""Suffolk murders"", ""Ipswich murders"", ""Ipswich Ripper"", ""Suffolk Ripper"", ""Suffolk Strangler"", ""East Anglia Ripper"", ""Red Light Ripper"" and ""the Suffolkator"". Murdered five sex workers, all of whom worked in Ipswich in 2006. There are possible links to previous East Anglia prostitute killings.[325][326]"
